Symbol Name, Symbol Address, Function Size, Matched
startBtpAndSetFrameAndStop__2MRFPC9LiveActorPCcf,80009F60,48,false
startBvaAndSetFrameAndStop__2MRFPC9LiveActorPCcf,80009FB0,48,false
startBtk__2MRFPC9LiveActorPCc,8000A000,8,false
startBrk__2MRFPC9LiveActorPCc,8000A010,8,false
startBtp__2MRFPC9LiveActorPCc,8000A020,8,false
startBpk__2MRFPC9LiveActorPCc,8000A030,8,false
startBva__2MRFPC9LiveActorPCc,8000A040,8,false
startBckIfExist__2MRFPC9LiveActorPCc,8000A050,A0,false
startBtkIfExist__2MRFPC9LiveActorPCc,8000A0F0,64,false
startBrkIfExist__2MRFPC9LiveActorPCc,8000A160,64,false
startBtpIfExist__2MRFPC9LiveActorPCc,8000A1D0,64,false
startBpkIfExist__2MRFPC9LiveActorPCc,8000A240,64,false
startBvaIfExist__2MRFPC9LiveActorPCc,8000A2B0,64,false
sub_8000A320,8000A320,DC,false
sub_8000A400,8000A400,DC,false
stopBck__2MRFPC9LiveActor,8000A4E0,2C,false
stopBtk__2MRFPC9LiveActor,8000A510,8,false
stopBrk__2MRFPC9LiveActor,8000A520,8,false
stopBtp__2MRFPC9LiveActor,8000A530,8,false
stopBva__2MRFPC9LiveActor,8000A540,8,false
setBckRate__2MRFPC9LiveActorf,8000A550,44,false
setBtkRate__2MRFPC9LiveActorf,8000A5A0,44,false
setBrkRate__2MRFPC9LiveActorf,8000A5F0,44,false
setBtpRate__2MRFPC9LiveActorf,8000A640,44,false
setBpkRate__2MRFPC9LiveActorf,8000A690,44,false
setBvaRate__2MRFPC9LiveActorf,8000A6E0,44,false
setBckFrame__2MRFPC9LiveActorf,8000A730,7C,false
setBtkFrame__2MRFPC9LiveActorf,8000A7B0,34,false
setBrkFrame__2MRFPC9LiveActorf,8000A7F0,34,false
setBtpFrame__2MRFPC9LiveActorf,8000A830,34,false
setBpkFrame__2MRFPC9LiveActorf,8000A870,34,false
setBvaFrame__2MRFPC9LiveActorf,8000A8B0,34,false
isBckPlaying__2MRFPC9LiveActorPCc,8000A8F0,C,false
